Model,AUC,AP,Accuracy,F1,Recall,Macro-F1
Text,0.6053946053946053,0.3678992350611038,0.6073059360730594,0.3582089552238806,0.36923076923076925,0.5376571091908876
Audio,0.6290709290709291,0.44741459610464573,0.6575342465753424,0.3697478991596639,0.3384615384615385,0.5673190906456627
Visual,0.5642357642357643,0.3502275769898302,0.5981735159817352,0.34328358208955223,0.35384615384615387,0.526904948939513
Fusion,0.6498501498501499,0.44130162579600024,0.6621004566210046,0.3148148148148148,0.26153846153846155,0.5452861952861953
