Model,Accuracy,Balanced Acc,F1,AUC-ROC,Precision,Sensitivity,Specificity,AUC 95% CI,Acc 95% CI,F1  95% CI
Text,0.6255707762557078,0.6092907092907093,0.47435897435897434,0.6360639360639361,0.4065934065934066,0.5692307692307692,0.6493506493506493,"[0.5544, 0.7127]","[0.5615, 0.6895]","[0.3742,  0.5650]"
Audio,0.730593607305936,0.6128371628371628,0.4158415841584158,0.6091908091908091,0.5833333333333334,0.3230769230769231,0.9025974025974026,"[0.5230, 0.6918]","[0.6758, 0.7900]","[0.2828,  0.5310]"
Visual,0.54337899543379,0.49750249750249753,0.3333333333333333,0.4997002997002997,0.29411764705882354,0.38461538461538464,0.6103896103896104,"[0.4107, 0.5866]","[0.4795, 0.6073]","[0.2308,  0.4255]"
Late Fusion,0.6712328767123288,0.5973026973026974,0.42857142857142855,0.6224775224775225,0.4426229508196721,0.4153846153846154,0.7792207792207793,"[0.5373, 0.6986]","[0.6027, 0.7352]","[0.3174,  0.5306]"
